Date,Content,Comment
2021-09-05,https://boxd.it/27dxHx,"Mas ali era ela novinha, 101 dálmatas se passa pelo menos uns 20/25 anos depois. Para mim o pior furo de todos foi no final a cena quase extra dos dálmatas chegando na casa dos donos (que seriam o casal de 101 dálmatas). Ali cagou completamente a linha do tempo"
2021-09-05,https://boxd.it/27dxHx,"De resto, o plot e tudo o mais sinceramente eu nem liguei. Achei massa ver o império de moda dela surgindo - até porque é o vemos no outro filme, ela como uma super estilista - e ver os traços de loucura."
2021-09-05,https://boxd.it/27dxHx,"Até pq tbm no 101 dálmatas a loucura dela é tão doida, tão fora de um comum que a história por trás tinha que ser realmente inventada bem mirabolante 😂"
2021-10-06,https://boxd.it/2buOE1,"Everytime I rewatch it, I think this could be a James Bond plot (except for the superpowers part). A incredible island, a misterious woman along side the vilan (a great vilan by the way), Edna Mode with gadgets just like Q. Perfection, and it only gets better with the years."
2021-12-16,https://boxd.it/axnXM,"Eu amei mulheres à beira de um ataque de nervos, acho que você poderia dar uma segunda chance hahaha"
2021-12-27,https://boxd.it/bKYdw,"My only complaint is that there are 007 films worse than Quantum of Solace. It is not good, definitely, but it’s inoffensive."
2022-01-02,,"Eu achei a performance de todos sofrível, não entendo o povo dizendo que Léo vai ser indicado ao Oscar por isso 💩"
2022-01-03,https://boxd.it/2kGj1R,Don’t you like musicals? At least you gotta admit (or not) that Andrew Garfield did a really good job at this one
2022-01-06,https://boxd.it/2kGj1R,"Oh I get it. For me a great bonus and kind of a magnet was Andrew’s interpretation, so if he didn’t convince you the movie must have been an annoying experience."
2022-01-06,https://boxd.it/axnXM,"Entendi, realmente fica difícil, pois todos são bem feitos. Cai mesmo na questão do gosto do freguês."
2022-01-09,,"John Hill é a galhofa em pessoa, só ele pra aguentar aquele papel"
2022-01-14,https://boxd.it/2tA2oD,Que diabos é um bimbo?
2022-01-14,https://boxd.it/2tA2oD,Whaaaat kkkkk em que contexto se aplica isso? É uma característica? Um bimbo way of life?
2022-01-14,https://boxd.it/3G2e2,"It’s almost hard for me to believe that there are so many hero movies, specially when considering most of these movies in the list are “new”"
2022-06-28,https://boxd.it/2YdFLT,Só me incomodou que o ambiente da rosquinha parece saído diretamente de um clipe de Lady Gaga
